,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Mileage,Engine(in-CC),Power(in-bhp),Colour,Seats,Price,company_name
2838,Hyundai Getz,Jaipur,2009,97359.0,Diesel,Manual,17.1,1493,110.0,White,5.0,1.8,Hyundai
2839,Maruti Grand,Mumbai,2017,25000.0,Petrol,Manual,10.4,2393,163.5,Others,5.0,9.0,Maruti
2840,Maruti SX4,Delhi,2014,90000.0,Diesel,Manual,21.5,1248,88.8,Black/Silver,5.0,4.5,Maruti
2841,Hyundai Verna,Jaipur,2014,97000.0,Diesel,Automatic,22.32,1582,126.32,Others,5.0,8.0,Hyundai
2842,Honda City,Hyderabad,2008,56000.0,Petrol,Automatic,16.4,1497,78.0,Others,5.0,2.99,Honda
2843,Volkswagen Vento,Kochi,2013,47910.0,Diesel,Manual,20.54,1598,103.6,Others,5.0,4.89,Volkswagen
2845,Maruti Swift,Jaipur,2010,130000.0,Diesel,Manual,19.3,1248,73.9,Black/Silver,5.0,4.0,Maruti
2846,Honda Brio,Mumbai,2014,36631.0,Petrol,Automatic,16.5,1198,86.8,White,5.0,4.3,Honda
2847,BMW Z4,Delhi,2011,25000.0,Petrol,Automatic,10.37,2979,306.0,Black/Silver,2.0,30.0,BMW
2848,Maruti Swift,Mumbai,2012,15000.0,Petrol,Manual,18.6,1197,85.8,White,5.0,3.65,Maruti
2849,Hyundai i20,Mumbai,2012,50000.0,Petrol,Manual,18.5,1197,82.85,Black/Silver,5.0,3.7,Hyundai
2850,Toyota Fortuner,Chennai,2015,99000.0,Diesel,Manual,13.0,2982,168.5,Black/Silver,7.0,20.5,Toyota
2851,Maruti Wagon,Kolkata,2016,16956.0,Petrol,Manual,22.5,998,67.04,White,5.0,3.6,Maruti
2852,Toyota Fortuner,Delhi,2013,123000.0,Diesel,Automatic,12.55,2982,168.5,White,7.0,16.5,Toyota
2853,Maruti Swift,Jaipur,2011,110000.0,Diesel,Manual,19.3,1248,73.9,Others,5.0,3.5,Maruti
2854,Ford Ecosport,Jaipur,2013,92250.0,Diesel,Manual,22.7,1498,89.84,White,5.0,5.75,Ford
2855,Hyundai Santa,Coimbatore,2016,45794.0,Diesel,Automatic,13.01,2199,194.3,Black/Silver,7.0,20.67,Hyundai
2856,Maruti Ertiga,Hyderabad,2013,120000.0,Diesel,Manual,20.77,1248,88.8,Others,7.0,7.0,Maruti
2857,Maruti Alto,Pune,2015,73204.0,Petrol,Automatic,24.07,998,67.1,Others,5.0,3.3,Maruti
2858,Maruti Swift,Hyderabad,2012,80799.0,Diesel,Manual,22.9,1248,74.0,White,5.0,4.9,Maruti
2859,Maruti Omni,Hyderabad,2017,24571.0,Petrol,Manual,14.0,796,35.0,Others,5.0,2.9,Maruti
2860,Hyundai Verna,Delhi,2015,57000.0,Diesel,Manual,23.9,1582,126.2,Black/Silver,5.0,6.6,Hyundai
2861,BMW 5,Delhi,2013,76000.0,Diesel,Automatic,18.48,1995,177.0,White,5.0,19.0,BMW
2862,Chevrolet Beat,Delhi,2011,76155.0,Petrol,Manual,18.6,1199,79.4,Black/Silver,5.0,1.95,Chevrolet
2863,Maruti Wagon,Delhi,2012,68347.0,Petrol,Manual,18.9,998,67.1,Black/Silver,5.0,2.6,Maruti
2864,Hyundai Verna,Pune,2011,49768.0,Petrol,Manual,17.01,1591,121.3,Others,5.0,4.95,Hyundai
2865,Tata Safari,Jaipur,2017,28000.0,Diesel,Manual,14.0,2179,138.1,Others,7.0,10.91,Tata
2866,Tata Tiago,Coimbatore,2019,16698.0,Petrol,Manual,23.84,1199,84.0,Others,5.0,5.85,Tata
2867,Mahindra XUV500,Coimbatore,2015,36836.0,Diesel,Manual,15.1,2179,140.0,White,7.0,12.49,Mahindra
2868,Land Rover Discovery,Pune,2012,117236.0,Diesel,Automatic,11.8,2720,190.0,White,7.0,14.0,Land
2869,Hyundai i20,Bangalore,2014,29000.0,Diesel,Manual,22.54,1396,88.73,Others,5.0,8.35,Hyundai
2870,Honda City,Mumbai,2015,73070.0,Petrol,Manual,17.4,1497,117.3,White,5.0,5.9,Honda
2871,Renault Duster,Hyderabad,2013,60000.0,Diesel,Manual,19.64,1461,108.45,White,5.0,7.5,Renault
2872,Maruti Swift,Hyderabad,2010,86000.0,Diesel,Manual,17.8,1248,75.0,White,5.0,3.6,Maruti
2873,Hyundai Verna,Kochi,2016,42876.0,Diesel,Automatic,19.08,1582,126.2,Black/Silver,5.0,9.31,Hyundai
2874,Skoda Rapid,Mumbai,2014,32000.0,Petrol,Automatic,14.3,1598,103.5,Black/Silver,5.0,5.55,Skoda
2875,Hyundai Xcent,Mumbai,2016,50000.0,Diesel,Manual,25.4,1186,73.97,Others,5.0,3.5,Hyundai
2876,Maruti Swift,Kochi,2016,38143.0,Diesel,Manual,22.9,1248,74.0,Others,5.0,5.22,Maruti
2877,Ford Figo,Coimbatore,2017,39419.0,Petrol,Manual,18.16,1196,86.8,White,5.0,4.95,Ford
2878,Hyundai Elite,Mumbai,2015,28133.0,Petrol,Manual,18.6,1197,81.86,Others,5.0,5.6,Hyundai
2879,Hyundai i10,Coimbatore,2012,47324.0,Petrol,Manual,20.36,1197,78.9,White,5.0,4.52,Hyundai
2880,Renault Duster,Delhi,2014,90000.0,Diesel,Manual,19.87,1461,83.8,White,5.0,5.35,Renault
2881,Volkswagen CrossPolo,Hyderabad,2015,80768.0,Diesel,Manual,20.14,1498,88.73,White,5.0,5.7,Volkswagen
2882,Volkswagen Polo,Mumbai,2015,31978.0,Petrol,Manual,16.47,1198,73.9,White,5.0,3.89,Volkswagen
2883,Hyundai i20,Ahmedabad,2014,64000.0,Diesel,Manual,21.9,1396,90.0,White,5.0,4.25,Hyundai
2884,Mercedes-Benz GL-Class,Delhi,2014,85000.0,Diesel,Automatic,11.3,2987,254.8,White,7.0,38.75,Mercedes-Benz
2885,Maruti Alto,Mumbai,2018,11000.0,Petrol,Manual,24.7,796,47.3,White,5.0,3.35,Maruti
2886,Mercedes-Benz M-Class,Pune,2015,69000.0,Diesel,Automatic,0.0,2987,165.0,Others,5.0,38.0,Mercedes-Benz
2887,Ford Figo,Chennai,2011,72000.0,Diesel,Manual,20.0,1399,68.0,White,5.0,2.9,Ford
2888,Hyundai EON,Jaipur,2017,52000.0,Petrol,Manual,21.1,814,55.2,Others,5.0,3.5,Hyundai
2890,Honda CR-V,Kochi,2011,55987.0,Petrol,Automatic,13.7,1997,153.86,Others,5.0,8.22,Honda
2891,Maruti Celerio,Kolkata,2018,30000.0,Petrol,Manual,23.1,998,67.04,Others,5.0,3.75,Maruti
2892,Chevrolet Beat,Hyderabad,2011,47000.0,Diesel,Manual,25.44,936,57.6,Others,5.0,2.5,Chevrolet
2893,Maruti Alto,Hyderabad,2004,81500.0,Petrol,Manual,19.7,796,46.3,White,5.0,1.3,Maruti
2894,Hyundai Xcent,Delhi,2016,36676.0,CNG,Manual,25.0,1197,81.86,Black/Silver,5.0,5.0,Hyundai
2895,Hyundai Santro,Delhi,2012,61449.0,Petrol,Manual,0.0,1086,62.0,Others,5.0,2.15,Hyundai
2896,Chevrolet Aveo,Pune,2006,78000.0,Petrol,Manual,14.49,1399,92.7,Others,5.0,1.2,Chevrolet
2897,Chevrolet Cruze,Jaipur,2017,51087.0,Diesel,Manual,17.9,1998,163.7,Black/Silver,5.0,7.75,Chevrolet
2898,Maruti Vitara,Hyderabad,2018,11000.0,Diesel,Manual,24.3,1248,88.5,Others,5.0,9.4,Maruti
2899,Maruti Eeco,Pune,2011,45000.0,Petrol,Manual,15.1,1196,73.0,Black/Silver,7.0,2.25,Maruti
2900,Toyota Fortuner,Kochi,2018,37713.0,Diesel,Automatic,12.55,2982,168.5,White,7.0,31.62,Toyota
2901,Maruti Ritz,Coimbatore,2011,88539.0,Diesel,Manual,23.2,1248,73.94,White,5.0,3.77,Maruti
2902,Maruti Ignis,Kochi,2019,12076.0,Petrol,Manual,20.89,1197,81.8,White,5.0,5.5,Maruti
2903,Fiat Linea,Kolkata,2010,145000.0,Diesel,Manual,20.4,1248,91.7,Others,5.0,2.6,Fiat
2904,BMW 3,Mumbai,2009,61500.0,Diesel,Automatic,16.07,1995,181.0,White,5.0,8.5,BMW
2905,Maruti Ritz,Hyderabad,2011,127887.0,Diesel,Manual,21.1,1248,73.9,Black/Silver,5.0,2.95,Maruti
2906,Mitsubishi Pajero,Mumbai,2013,59000.0,Diesel,Manual,13.5,2477,175.56,White,7.0,12.75,Mitsubishi
2907,Hyundai i10,Kolkata,2013,21000.0,Petrol,Manual,20.36,1197,78.9,Black/Silver,5.0,2.35,Hyundai
2908,Audi Q7,Bangalore,2015,21000.0,Diesel,Automatic,12.07,2967,241.4,White,7.0,48.0,Audi
2909,Mercedes-Benz GLA,Kolkata,2015,35000.0,Diesel,Automatic,17.9,2143,136.0,Black/Silver,5.0,20.99,Mercedes-Benz
2910,Hyundai EON,Bangalore,2013,45010.0,Petrol,Manual,21.1,814,55.2,Others,5.0,2.95,Hyundai
2911,Hyundai i20,Delhi,2012,71000.0,Diesel,Manual,23.0,1396,90.0,Others,5.0,3.7,Hyundai
2912,Maruti Wagon,Pune,2008,82500.0,Petrol,Manual,14.0,1061,64.0,White,5.0,1.75,Maruti
2913,Ford Figo,Bangalore,2011,68465.0,Petrol,Manual,15.6,1196,70.0,Others,5.0,2.95,Ford
2914,Mahindra KUV,Kochi,2017,39528.0,Diesel,Manual,25.32,1198,77.0,Black/Silver,6.0,5.83,Mahindra
2915,Hyundai i20,Pune,2012,56200.0,Petrol,Automatic,15.0,1396,98.6,White,5.0,3.85,Hyundai
2916,Maruti Ertiga,Pune,2013,105000.0,Diesel,Manual,25.47,1248,88.5,White,7.0,6.75,Maruti
2917,Hyundai Grand,Delhi,2017,8471.0,Petrol,Manual,18.9,1197,81.86,Black/Silver,5.0,5.0,Hyundai
2918,Mahindra Scorpio,Ahmedabad,2011,70000.0,Diesel,Manual,12.05,2179,120.0,White,8.0,7.45,Mahindra
2919,Hyundai Xcent,Pune,2018,40000.0,Petrol,Manual,20.14,1197,81.86,White,5.0,5.0,Hyundai
2920,Hyundai Elantra,Ahmedabad,2018,35000.0,Diesel,Manual,22.7,1582,126.2,Others,5.0,15.0,Hyundai
2921,Volkswagen Polo,Pune,2011,65000.0,Petrol,Manual,16.47,1198,73.9,White,5.0,3.0,Volkswagen
2922,BMW 5,Coimbatore,2016,20967.0,Diesel,Automatic,14.69,2993,258.0,Others,5.0,44.56,BMW
2923,Mercedes-Benz New,Delhi,2012,63000.0,Diesel,Automatic,14.94,2143,204.0,White,5.0,14.22,Mercedes-Benz
2924,Audi A6,Delhi,2014,56000.0,Diesel,Automatic,18.53,1968,187.74,White,5.0,29.5,Audi
2925,Land Rover Discovery,Hyderabad,2016,62000.0,Diesel,Automatic,12.51,2179,187.7,Others,7.0,44.5,Land
2926,BMW 5,Bangalore,2015,16900.0,Diesel,Automatic,14.69,2993,258.0,Black/Silver,5.0,44.0,BMW
2927,Hyundai EON,Coimbatore,2013,65060.0,Petrol,Manual,21.1,814,55.2,Black/Silver,5.0,3.32,Hyundai
2928,Toyota Innova,Pune,2009,118000.0,Diesel,Manual,12.8,2494,102.0,Others,8.0,4.5,Toyota
2929,Hyundai Verna,Delhi,2014,61566.0,Petrol,Manual,17.1,1591,121.3,Others,5.0,5.85,Hyundai
2930,Mercedes-Benz New,Hyderabad,2017,10000.0,Diesel,Automatic,19.27,2143,167.62,Black/Silver,5.0,36.0,Mercedes-Benz
2931,Honda City,Mumbai,2016,34634.0,Petrol,Manual,17.8,1497,117.3,White,5.0,6.9,Honda
2932,Tata Nano,Coimbatore,2017,32684.0,Petrol,Automatic,21.9,624,37.48,White,4.0,3.23,Tata
2933,Volkswagen Polo,Bangalore,2015,46354.0,Petrol,Manual,16.47,1198,74.0,Black/Silver,5.0,5.49,Volkswagen
2934,Volkswagen Polo,Coimbatore,2015,56900.0,Diesel,Manual,20.14,1498,88.8,Black/Silver,5.0,4.1,Volkswagen
2935,Volkswagen Polo,Hyderabad,2014,69000.0,Diesel,Manual,20.14,1498,88.8,White,5.0,5.19,Volkswagen
2936,Maruti Wagon,Jaipur,2015,34000.0,Petrol,Automatic,20.51,998,67.0,White,5.0,3.85,Maruti
2937,Renault KWID,Kochi,2017,32587.0,Petrol,Manual,25.17,799,53.3,Others,5.0,3.71,Renault
2938,Maruti Swift,Chennai,2015,29500.0,Petrol,Manual,20.4,1197,81.8,Others,5.0,4.15,Maruti
2939,Hyundai Grand,Mumbai,2017,8500.0,Petrol,Manual,18.9,1197,82.0,Black/Silver,5.0,4.8,Hyundai
2940,BMW 6,Kochi,2010,65329.0,Petrol,Automatic,7.94,4395,450.0,Others,4.0,20.72,BMW
2941,Mercedes-Benz GL-Class,Delhi,2016,16000.0,Diesel,Automatic,11.3,2987,254.8,Black/Silver,7.0,56.0,Mercedes-Benz
2942,Maruti Swift,Jaipur,2016,54897.0,Diesel,Automatic,26.59,1248,74.0,White,5.0,7.3,Maruti
2943,Toyota Corolla,Kolkata,2009,45000.0,Petrol,Manual,14.53,1798,138.1,Black/Silver,5.0,3.3,Toyota
2944,Audi A6,Coimbatore,2017,55975.0,Diesel,Automatic,17.68,1968,174.33,Others,5.0,35.92,Audi
2945,Hyundai i10,Coimbatore,2013,32776.0,Petrol,Manual,20.36,1197,78.9,Others,5.0,4.64,Hyundai
2946,Hyundai Verna,Bangalore,2012,79000.0,Diesel,Automatic,22.0,1582,126.2,Others,5.0,5.25,Hyundai
2947,Honda Amaze,Jaipur,2015,42000.0,Petrol,Manual,18.0,1198,86.7,Black/Silver,5.0,4.3,Honda
2948,Audi Q7,Coimbatore,2016,51002.0,Diesel,Automatic,11.33,4134,335.2,White,7.0,48.91,Audi
2949,Volkswagen Polo,Mumbai,2016,7523.0,Petrol,Manual,16.2,1199,74.0,Others,5.0,6.15,Volkswagen
2950,Hyundai i20,Delhi,2015,21000.0,Petrol,Manual,18.6,1197,81.83,White,5.0,4.9,Hyundai
2951,Renault KWID,Jaipur,2017,33000.0,Petrol,Automatic,24.04,999,67.0,Others,5.0,3.2,Renault
2952,Hyundai Grand,Kochi,2017,20773.0,Diesel,Manual,24.0,1186,73.97,White,5.0,5.92,Hyundai
2953,Ford Figo,Pune,2014,21727.0,Petrol,Manual,15.6,1196,70.02,Others,5.0,3.35,Ford
2954,Fiat Grande,Delhi,2010,120000.0,Diesel,Manual,17.8,1248,76.0,White,5.0,1.65,Fiat
2955,Hyundai Creta,Coimbatore,2017,101065.0,Diesel,Manual,20.5,1582,126.2,Others,5.0,11.45,Hyundai
2956,BMW X1,Delhi,2011,72000.0,Diesel,Automatic,17.05,1995,184.0,Others,5.0,11.0,BMW
2957,Fiat Linea,Kolkata,2015,32000.0,Diesel,Manual,20.4,1248,91.7,White,5.0,4.65,Fiat
2958,Mitsubishi Pajero,Pune,2012,116000.0,Diesel,Manual,10.5,2835,107.2,Black/Silver,6.0,9.95,Mitsubishi
2959,Mercedes-Benz New,Pune,2015,50000.0,Diesel,Automatic,19.27,2143,167.62,White,5.0,30.0,Mercedes-Benz
2960,Skoda Rapid,Bangalore,2013,66700.0,Petrol,Manual,15.0,1598,103.5,White,5.0,4.0,Skoda
2961,Volkswagen Polo,Mumbai,2014,54230.0,Petrol,Manual,16.47,1198,74.0,White,5.0,4.5,Volkswagen
2962,Hyundai Grand,Delhi,2015,59261.0,Diesel,Manual,24.0,1186,73.97,White,5.0,4.25,Hyundai
2963,Maruti Swift,Jaipur,2016,55000.0,Diesel,Manual,22.9,1248,74.0,Black/Silver,5.0,5.65,Maruti
2964,Ford Figo,Hyderabad,2014,74624.0,Diesel,Manual,20.0,1399,68.05,Black/Silver,5.0,5.65,Ford
2965,BMW 5,Coimbatore,2016,19658.0,Diesel,Automatic,18.12,1995,190.0,Others,5.0,35.84,BMW
2967,Hyundai Grand,Coimbatore,2017,33284.0,Petrol,Manual,18.9,1197,82.0,Black/Silver,5.0,5.84,Hyundai
2968,Renault Pulse,Delhi,2016,40190.0,Petrol,Manual,18.06,1198,74.93,Black/Silver,5.0,4.25,Renault
2969,BMW 1,Coimbatore,2015,31821.0,Diesel,Automatic,20.58,1995,143.0,Others,5.0,17.22,BMW
2970,Chevrolet Beat,Chennai,2010,66000.0,Petrol,Manual,18.6,1199,79.4,Black/Silver,5.0,2.19,Chevrolet
2971,Ford Figo,Coimbatore,2017,28854.0,Petrol,Manual,18.16,1196,86.8,Black/Silver,5.0,6.7,Ford
2972,BMW 3,Coimbatore,2010,59660.0,Petrol,Automatic,12.05,1995,154.0,White,5.0,10.49,BMW
2973,Hyundai i20,Kolkata,2011,36000.0,Petrol,Manual,18.5,1197,80.0,White,5.0,2.5,Hyundai
2975,Hyundai Verna,Kochi,2009,137148.0,Petrol,Manual,13.9,1599,103.2,Others,5.0,1.85,Hyundai
2976,Audi A6,Bangalore,2011,50000.0,Diesel,Automatic,16.77,2967,241.38,Black/Silver,5.0,21.0,Audi
2977,Mahindra XUV500,Delhi,2012,65000.0,Diesel,Manual,16.0,2179,140.0,Others,7.0,5.75,Mahindra
2978,Maruti Celerio,Hyderabad,2015,47020.0,Petrol,Manual,23.1,998,67.04,White,5.0,4.5,Maruti
2979,Mercedes-Benz E-Class,Coimbatore,2016,39753.0,Diesel,Automatic,13.0,2143,201.1,Others,5.0,35.28,Mercedes-Benz
2980,Maruti Alto,Chennai,2015,25000.0,Petrol,Automatic,24.07,998,67.1,White,5.0,3.5,Maruti
2981,Hyundai Verna,Bangalore,2012,80000.0,Diesel,Manual,22.32,1582,126.32,White,5.0,5.25,Hyundai
2982,Honda Amaze,Ahmedabad,2014,59000.0,Diesel,Manual,25.8,1498,98.6,Others,5.0,4.75,Honda
2983,Hyundai Xcent,Mumbai,2016,29000.0,Diesel,Manual,24.4,1120,71.0,Others,5.0,5.95,Hyundai
2984,Mercedes-Benz S,Mumbai,2007,55000.0,Petrol,Automatic,10.13,3498,364.9,White,5.0,9.99,Mercedes-Benz
2985,Audi A4,Bangalore,2014,37600.0,Diesel,Automatic,16.55,1968,147.51,Black/Silver,5.0,22.5,Audi
2986,Maruti A-Star,Kochi,2010,55324.0,Petrol,Manual,19.0,998,66.1,White,5.0,2.87,Maruti
2987,Maruti Baleno,Mumbai,2017,16900.0,Petrol,Manual,21.1,998,100.0,Black/Silver,5.0,6.99,Maruti
2989,Mercedes-Benz E-Class,Mumbai,2014,72000.0,Petrol,Automatic,12.0,1991,184.0,White,5.0,17.25,Mercedes-Benz
2990,Toyota Camry,Delhi,2015,25000.0,Petrol,Automatic,19.16,2494,158.2,White,5.0,25.0,Toyota
2991,Honda City,Coimbatore,2016,24337.0,Diesel,Manual,26.0,1498,98.6,Black/Silver,5.0,8.18,Honda
2992,Volkswagen Polo,Bangalore,2013,37000.0,Petrol,Manual,16.47,1198,73.9,Others,5.0,5.1,Volkswagen
2993,Tata Safari,Bangalore,2012,90000.0,Diesel,Manual,13.93,2179,138.03,White,7.0,4.6,Tata
2994,Volkswagen Polo,Kochi,2011,58752.0,Petrol,Manual,16.47,1198,73.9,Others,5.0,3.32,Volkswagen
2995,BMW X1,Kochi,2017,32838.0,Diesel,Automatic,17.05,1995,190.0,Black/Silver,5.0,30.29,BMW
2996,Renault KWID,Jaipur,2016,26000.0,Petrol,Manual,25.17,799,53.3,Black/Silver,5.0,2.55,Renault
2997,Maruti Wagon,Kolkata,2014,23840.0,Petrol,Manual,20.51,998,67.04,Others,5.0,3.0,Maruti
2998,Hyundai i20,Ahmedabad,2016,57000.0,Petrol,Manual,18.6,1197,81.83,Black/Silver,5.0,6.0,Hyundai
2999,Honda Brio,Kochi,2016,27969.0,Petrol,Manual,19.4,1198,86.8,Black/Silver,5.0,4.73,Honda
3000,Mahindra Xylo,Jaipur,2012,55000.0,Diesel,Manual,14.0,2498,112.0,White,8.0,2.9,Mahindra
3001,BMW X5,Hyderabad,2011,75000.0,Diesel,Automatic,11.7,2993,245.0,Black/Silver,5.0,27.5,BMW
3002,Honda Brio,Coimbatore,2013,33709.0,Petrol,Automatic,16.5,1198,86.8,Black/Silver,5.0,4.9,Honda
3003,Toyota Etios,Hyderabad,2014,59589.0,Diesel,Manual,23.59,1364,67.1,Black/Silver,5.0,5.6,Toyota
3004,Ford Figo,Pune,2015,92000.0,Diesel,Manual,20.0,1399,68.05,White,5.0,4.25,Ford
3005,Hyundai Verna,Chennai,2016,31000.0,Diesel,Manual,23.9,1582,126.2,Black/Silver,5.0,9.0,Hyundai
3007,Volkswagen Polo,Jaipur,2015,63000.0,Diesel,Manual,20.14,1498,88.8,Black/Silver,5.0,5.11,Volkswagen
3008,Hyundai i20,Ahmedabad,2009,68000.0,Diesel,Manual,23.0,1396,90.0,Black/Silver,5.0,3.95,Hyundai
3009,BMW 5,Pune,2015,64000.0,Diesel,Automatic,18.48,1995,177.0,Others,5.0,28.0,BMW
3010,Honda Brio,Bangalore,2012,60000.0,Petrol,Manual,19.4,1198,86.8,Others,5.0,3.25,Honda
3011,Mahindra XUV500,Jaipur,2014,70669.0,Diesel,Manual,15.1,2179,140.0,Others,7.0,9.0,Mahindra
3012,Hyundai Creta,Mumbai,2018,2500.0,Petrol,Manual,15.29,1591,121.3,White,5.0,12.75,Hyundai
3013,Maruti Wagon,Pune,2004,82000.0,Petrol,Manual,14.0,1061,64.0,Black/Silver,5.0,0.85,Maruti
3014,Hyundai Creta,Jaipur,2015,65800.0,Diesel,Automatic,17.01,1582,126.2,White,5.0,12.5,Hyundai
3015,Toyota Innova,Mumbai,2014,35000.0,Diesel,Manual,12.99,2494,100.6,Others,7.0,12.75,Toyota
3016,Hyundai i20,Jaipur,2013,59000.0,Petrol,Manual,18.5,1197,80.0,White,5.0,4.1,Hyundai
3017,Toyota Innova,Pune,2016,50296.0,Diesel,Automatic,11.36,2755,171.5,Black/Silver,7.0,19.0,Toyota
3018,Mahindra Scorpio,Kochi,2017,28464.0,Diesel,Manual,15.4,2179,120.0,Black/Silver,7.0,13.05,Mahindra
3019,Honda City,Chennai,2013,83432.0,Petrol,Manual,17.0,1497,118.0,Black/Silver,5.0,5.9,Honda
3020,Honda Jazz,Mumbai,2016,48719.0,Diesel,Manual,27.3,1498,98.6,Others,5.0,6.25,Honda
3021,Audi A4,Mumbai,2013,45200.0,Diesel,Automatic,16.55,1968,147.51,Black/Silver,5.0,13.5,Audi
3022,Honda Civic,Ahmedabad,2009,70000.0,Petrol,Manual,13.5,1799,130.0,Others,5.0,4.25,Honda
3023,Chevrolet Beat,Kolkata,2010,30000.0,Petrol,Manual,18.6,1199,79.4,Others,5.0,1.6,Chevrolet
3024,Maruti Ertiga,Chennai,2016,86000.0,Diesel,Manual,25.47,1248,88.5,White,7.0,8.2,Maruti
3025,Audi Q3,Bangalore,2015,51000.0,Diesel,Automatic,15.17,1968,181.0,Others,5.0,27.5,Audi
3026,Hyundai i10,Mumbai,2011,15590.0,Petrol,Manual,19.81,1086,68.05,Black/Silver,5.0,2.25,Hyundai
3027,Volkswagen Jetta,Kolkata,2013,58000.0,Diesel,Manual,19.33,1968,138.03,Others,5.0,5.9,Volkswagen
3028,Mini Cooper,Chennai,2012,17000.0,Petrol,Automatic,16.82,1998,189.08,Black/Silver,4.0,22.0,Mini
3029,Toyota Fortuner,Delhi,2014,79000.0,Diesel,Automatic,12.55,2982,168.5,White,7.0,18.5,Toyota
3030,Hyundai i10,Ahmedabad,2013,49000.0,Petrol,Manual,19.81,1086,68.05,Others,5.0,3.2,Hyundai
3031,Hyundai Grand,Mumbai,2016,9000.0,Petrol,Automatic,18.9,1197,82.0,Black/Silver,5.0,5.45,Hyundai
3032,Maruti Swift,Jaipur,2012,72000.0,Diesel,Manual,19.3,1248,73.9,White,5.0,4.25,Maruti
3033,Maruti SX4,Coimbatore,2016,63316.0,Diesel,Manual,22.7,1598,118.0,Others,5.0,9.58,Maruti
3034,Maruti Ciaz,Kochi,2018,15982.0,Petrol,Manual,20.73,1373,91.1,Others,5.0,9.96,Maruti
3035,Tata Indica,Mumbai,2006,133000.0,Diesel,Manual,16.8,1405,68.0,Others,5.0,0.86,Tata
3036,Maruti Swift,Hyderabad,2011,130002.0,Diesel,Manual,19.3,1248,73.9,Black/Silver,5.0,3.85,Maruti
3037,Ford Ecosport,Mumbai,2014,68000.0,Diesel,Manual,22.7,1498,89.84,Black/Silver,5.0,6.75,Ford
3038,Toyota Fortuner,Ahmedabad,2015,65012.0,Diesel,Manual,14.24,2755,174.5,White,7.0,18.9,Toyota
3039,Hyundai i20,Pune,2017,10000.0,Petrol,Manual,18.6,1197,81.83,Black/Silver,5.0,6.5,Hyundai
3040,Maruti 800,Jaipur,2006,165000.0,Petrol,Manual,16.1,796,37.0,Others,4.0,0.9,Maruti
3041,Hyundai i20,Jaipur,2018,5000.0,Petrol,Manual,18.6,1197,81.83,Black/Silver,5.0,6.5,Hyundai
3042,Honda City,Kolkata,2015,45000.0,Petrol,Automatic,16.8,1497,118.0,White,5.0,5.25,Honda
3043,Tata Indica,Pune,2014,180000.0,Diesel,Manual,22.3,1248,74.0,White,5.0,2.5,Tata
3044,Tata Nano,Chennai,2011,35000.0,Petrol,Manual,25.4,624,37.48,Black/Silver,4.0,1.6,Tata
3045,Chevrolet Beat,Kochi,2016,60813.0,Petrol,Manual,18.6,1199,76.8,White,5.0,3.32,Chevrolet
3046,Volkswagen Vento,Pune,2011,57328.0,Petrol,Manual,15.04,1598,103.6,Black/Silver,5.0,3.39,Volkswagen
3047,Audi Q7,Coimbatore,2015,46983.0,Diesel,Automatic,12.07,2967,241.4,Others,7.0,43.35,Audi
3048,Ford Freestyle,Jaipur,2018,1001.0,Petrol,Manual,19.0,1194,94.68,White,5.0,7.23,Ford
3049,Maruti Alto,Chennai,2011,75000.0,Petrol,Manual,19.7,796,46.3,Black/Silver,5.0,2.1,Maruti
3050,Hyundai Verna,Hyderabad,2011,51500.0,Petrol,Manual,16.2,1599,103.2,Black/Silver,5.0,2.6,Hyundai
3051,Hyundai Xcent,Mumbai,2014,64241.0,Petrol,Manual,20.14,1197,81.86,Others,5.0,3.67,Hyundai
3052,Chevrolet Beat,Jaipur,2010,26000.0,Petrol,Manual,18.6,1199,79.4,Black/Silver,5.0,1.5,Chevrolet
3053,Honda Jazz,Hyderabad,2016,44345.0,Diesel,Manual,27.3,1498,98.6,White,5.0,6.1,Honda
3054,Honda Jazz,Hyderabad,2015,33000.0,Petrol,Automatic,19.0,1199,88.7,Black/Silver,5.0,7.25,Honda
3055,Toyota Corolla,Pune,2011,116000.0,Diesel,Manual,21.43,1364,138.0,Black/Silver,5.0,5.75,Toyota
3056,Honda CR-V,Jaipur,2008,100009.0,Petrol,Manual,13.1,1997,141.1,Black/Silver,5.0,6.5,Honda
3057,Volkswagen Polo,Delhi,2013,75000.0,Petrol,Manual,16.47,1198,73.9,Black/Silver,5.0,3.25,Volkswagen
3058,Toyota Innova,Mumbai,2006,127001.0,Diesel,Manual,12.8,2494,102.0,White,8.0,4.95,Toyota
3059,Skoda Rapid,Kochi,2014,33855.0,Petrol,Manual,15.0,1598,103.6,Others,5.0,5.09,Skoda
3060,Maruti A-Star,Pune,2010,67000.0,Petrol,Manual,19.0,998,66.1,White,5.0,2.0,Maruti
3061,Hyundai Verna,Bangalore,2012,97000.0,Diesel,Automatic,19.08,1582,126.32,White,5.0,6.5,Hyundai
3062,Maruti Ertiga,Ahmedabad,2013,67443.0,Diesel,Manual,20.77,1248,88.8,White,7.0,5.75,Maruti
3063,Volvo XC60,Kochi,2014,86925.0,Diesel,Automatic,11.2,2400,215.0,Others,5.0,17.18,Volvo
3064,Maruti SX4,Chennai,2010,87000.0,Petrol,Manual,15.6,1586,104.68,Black/Silver,5.0,2.8,Maruti
